,sentence,labels,ranges
346,"किसी भी (idea)पर काल करने पर डायलर टोन से पूर्व कम्पनी अपना विज्ञापन देकर ग्राहक का अमूल्य समय बर्बाद करती है,विज्ञापन के और भी माध्यम हैं ।",,
347,any update?,,
348,i'll see what i can do. - becky,becky,"[[26, 31]]"
349,"hey pat, this sounds like a great idea! suggest it in our community at and get support from other users 😁 /ns",pat,"[[4, 7]]"
350,anyone else with in madison having issues right now? some sites straight up not loading. others do.,,
351,hi nichola - have you received any communications regarding this delivery? ^ nv,nichola,"[[3, 10]]"
352,also switching from my lg5 to the note 8 and the switch app didn't transfer all my memos and lost pretty important stuff. plus was in too big a hurry to upl to drive.,,
353,so if i reserve tomorrow and collect thursday will i still pay the 3 for 2 price? :),,
354,we'd like to see what we can do to help. what's going on with your iphone since the update?,,
355,the live feed is a bummer 😐,,
356,"i will now tweet this years rankings, in ascending order of pasta shapes, from worst to best",,
357,i knew that much.,,
358,what does that mean,,
359,hello i am trying to do a trial of hulu live tv it this possible ?,,
360,"hi, alan! kindly send us your email address so we can assist you further.",alan,"[[4, 8]]"
361,what’s happening with this train? still showing as running from dorking..... but cancelled at gatwick? need to get to guildford,,
362,my flight from bos - charlotte with you guys on 10/26 has been moved to 3pm but my flight from dublin only lands at 1.30pm,,
363,hmm. is this happening on a different device? keep us in the loop /ny,,
364,sorted it now thanks! took me a 30 minute phone call to you 🙄 my bank account wasn’t set up properly. wish i knew that - googled for ages,,
365,"we'd hate to see you go, alexis. please send a dm with more details about what's going on (no account numbers), along with your best contact number. i'd like a chance to try and turn around your service experience. ^ fx",alexis,"[[25, 31]]"
366,duda. en dan la opción de que te llegue un pedido en algún punto de recogida?,,
367,you to wait till the estimates and you shall have your order. 2/3 ^ ma,,
368,i'd like to use this just as we get to hunting season here.,,
369,i understand the urgency. we've received your details and working on it. we'll get back to you shortly ^ st,,
370,congratulations on building the phone . case needed to handle it.,,
371,bizarrement tu n’avais pas eu de soucis quand tu avais commandé des godemichets,,
372,anyone know why doesn’t charge tourist tax through its platform? many hosts ask for it in cash on check - in.,,
373,here to help! send us a note via to assist you further.,,
374,en plus c'est pour un replacement de disque durs qui marchaient pas… si ça se trouve les nouveaux non plus et ce sera reparti pour un tour.,,
375,we want to help. what device and version of ios is this issue occurring with?,,
376,omg where's my shopping!!! first time using you &amp; the last. your driver is sat in the van eating my tea isn't he,,
377,"vamos a pensar 🤔, ¿cuál es tu género musical favorito? 😎 ^ az",,
378,delay repay online form - departure &amp; destination station fields: it only lets you pick from certain stations e.g. l'pool lime street but not l'pool south parkway? this makes it difficult to fill it in accurately! ta.,,
379,the only problem is see here is the 'great for sharing'. that is never going to happen with these!,,
380,we'd love the opportunity to dive into things further. please use the link in my picture to dm us. *mikeperez,,
381,hey there. can you dm your gt and a pic of what your seeing with the store? definitely odd. ^ is,,
382,nan,,
383,are you still seeing this issue? please let us know if there is anything we can do to help. ^ th,,
384,a friend transfered money to my account with his account and i followed the email instructions but i cannot find the update in settings to claim the money help,,
385,hey there! could you let us know the country you're currently in? we'll keep an eye out for your reply /lp,,
386,we're happy to get you pointed in the right direction. were you able to connect with itunes store support? let us know in dm.,,
387,"we are offering to help in any way that we can, if we can. if you could have someone dm the subid, we can try to help. ^ pb",,
388,here’s an interesting one. why are all these songs stored on my phone that i haven’t downloaded?,,
389,"i see, the team will try and get this reset en route for you ^ mw",,
390,hi there! let us take a look into this for you. shoot us a dm to further assist with your coverage in area. - ja,,
391,"first, you can suck my ass, then you can help he's the one dealing with your garbage :')",,
392,they will still go through all of the necessary troubleshooting steps to try and identify the intermittent issues. what does your schedule look like over the next few days? - ra,,
393,thanks for the response. my request is how can i get astart key forgot my mpesa pin?,,
394,"i wasn't proposing you make trains short so that if stock breaks down you can make shorts long. was asking why you don't obtain more stock to cover rush hour issues. answer perhaps too long for twitter, hence my suggestion of a statement online. can you set the ball rolling?",,
395,"ios 11.0.3 is performing very bad, slow down the devices, malfunction the apps like whatsapp, google maps, youtube, outlook",,
396,if anything why not bring to store literally right down the street?,,
397,hi there! thanks for reaching out to us. can you dm us your gamertag and a photo of what you're seeing? ^ co,,
398,"loosing my connecting flight to see my sister's graduation thanks to a ""processing problem"" thanks! 👎👎",,
399,why am i not able to select sync only checked songs and videos?,,
400,sounds divine lucy 🙌 is there any better meal than stew and dumplings on a winter's evening!? ☺️ any thought on dessert?,lucy,"[[14, 18]]"
401,"would you mind sending me a dm with your name, address and order number please? - david 2/2",david,"[[82, 87]]"
402,pls look into it and help me.,,
403,"new is running me dry, dropped $400 there today. i am now currently accepting donations so that i can eat this week",,
404,"hello, sean. i am sorry you are having problems with the internet. please send me a dm with your account name and phone or account number and i will be happy to assist you. - sts",sean,"[[7, 11]]"
405,"no problem, let us know. ^ bm",,
406,the plane is running late coming to clt. we're planning a departure of 4p now.,,
407,provide us with the exact error you got please.,,
408,i recently used your service to get a refund on a bad wireless router. great job btw. when buying the replacement router on amazon i forgot to add a protection plan. can i buy it after the purchase of the router?,,
409,would you like to dm us on that? we would love to help.^ charlotte,charlotte,"[[57, 66]]"
410,being seated in the location selected is more acceptable. 6 flights same issue. have 6 more frustrating flights. yippee,,
411,"we have reversed the funds , use hakikisha service in future to confirm transaction. you will get a notificaton sms. ^ iw",,
412,nice! don’t let it out of your sight!,,
413,i want to know frm u wat is the 'tax' that is charged on each product? and is this charged by u or vendor? mrp has tax...? so?,,
414,just bored and want the day off 😂,,
415,"carrier freedom issue + me = resolved! it's what i'm known for, dm me, i've got you *oliviastewart",,
416,"every other supermarket, when they realise nothing beats m&amp;s . . .",,
417,hi! what delivery date were you given at checkout? you can check it here: keep us updated! ^ da,,
418,free? as in you dont have to pay when you install it in google play?😯,,
419,here’s what you can do to work around the issue until it’s fixed in a future software update:,,
420,"hi, are you still having issues with lightroom crashing? have you updated to the latest version? let us know if you need help. we can loop in our expert to assist you. ^ sv",,
421,have done,,
422,"4 times i have mailed ,to __email__, you want me to send that screenshot i'll send it in few min sub: 393134",,
423,"hello, jeff, i apologize for your experience with us. is there anything that i might assist you with at this time? - jw",jeff,"[[7, 11]]"
424,"after changing the pick up point at paddington stn london, drivers can find their way. waited 26 min for a car 3 min out.",,
425,"that's right, this is a service :)",,
426,so sorry to hear this beth. have you spoken to the guest about the missing item? your best option would be to create a resolution centre case : document any damaged items and request compensation from your guest. let us know if you need anything further.,,
427,i already talked via chat and got a replacement but i didn't expect at all to receive an open package,,
428,"hi karl, did you just create the file? did you save it at any point? if the app closed completely (not just running in the background) and the file wasn’t saved, then it wouldn’t be saved in your account and wouldn’t be recoverable at this point.",karl,"[[3, 7]]"
429,"so, solution is 1) go into the store or 2)borrow someone’s phone to plug into my house so they can then call and verify it’s me.",,
430,dm is useless since it only states the standard sorry about your troubles. please assist! so far all 'dms' useless - no help in 6 weeks.,,
431,"i am trying to watch handmaid's tale and once the show starts, i either lose sound or video or the whole thing. i am using apple tv to connect. i can sometimes watch using my ipad, the hulu app and mirroring. why is the apple tv connection is not working?",,
432,"i've had it with . i've been trying to cancel my monthly subscription with them, to no avail, for months now. frankly, it's unacceptable.",,
433,"heads up travelers... both and charged me for the same room, and neither will provide refund.",,
434,can you guess what this is? no responses from anyone,,
435,"hi larry, thanks for reaching out. i'd like to help :) what is the printer model? ^ roopa","larry, roopa","[[3, 8], [84, 89]]"
436,we'd love to work together on this with you. join us in dm and we'll take a look:,,
437,"i wasn't paid last week &amp; been getting the run around from your ""dasher help""..ridiculous. you treat dashers like trash.",,
438,"hi richard, certainly cheered me up as well. going to put a call into the store before the african wildlife foundation gets involved - adam","richard, adam","[[3, 10], [135, 139]]"
439,so sorry for the wait. can you send a private message with your confirmation code? ~ angel,angel,"[[85, 90]]"
440,mine also wouldn’t honor this...,,
441,we'd be glad to be of assistance. we have addressed this issue in our recent ios 11.1.1 update:,,
442,so mobile check depositing is not working?,,
443,"i'm on a train, please read the thread. i'm asking a general question about you cancelling services this evening.",,
444,"hi , i'm sorry to learn of your experience with your delivery. please can i take your order number and the delivery address and postcode so that i can look into this for you. can you also follow us and dm me please. sue",,
445,once your finger biometric is done &amp; it gets updated in our system automatically the ownership will be changed on your name.(2/2),,
446,we always want to be updated with your concern. you can update us anytime. 👍,,
447,mcdonald’s don’t do the 2 for 2.50 nomo 🤦🏾‍♂️,,
448,"austin, have you had any issues signing in to your account via computer? i see you performed a recent update on your phone/ipad, have you tried clearing your cache/cookies, uninstalling the app, and reinstalling it to see if that works? ^ sy",austin,"[[0, 6]]"
449,i am sorry that you are having trouble with us getting you your packages. our team would be happy to look in to this for you. can you please dm us the tracking numbers. ^ sv,,
450,"we’d like to know more about your experience. meet us over in dm with some more details about what happened, and we’ll take a look at this together.",,
451,it’s little things. delays. glitchy presentation. here’s an example:,,
452,"i'm so sorry you haven't received your order! just to confirm, what was the estimated delivery date for your order: ^ eb",,
453,nan,,
454,i was excited to get my until t - mobile had a “system glitch” and my order cancelled. now i’m screwed out of an iphonex,,
455,great customer servie by desiree at austin airport.,,
456,can't find a game in ww2 searching for lobby for 10min now,,
457,they are not available at present aaron; fares should be available for january very soon. ^ nm,aaron,"[[34, 39]]"
458,what's has been wrong with your network dis past week,,
459,received this with no invoice and seal broken. you better look into the delivery agencies you partner with and take note of their hiring process and background checks they perform on delivery guys.,,
460,"querida descrevam os produtos corretamente, gastei 40$ em pilhas e o produto chegou e era a bateria. estou bem triste.",,
461,"we're looking forward to bringing our southwest hospitality to hawaii, chris! be sure to check back on our social media pages and over the coming months for updates. ^ ec",chris,"[[71, 76]]"
462,hi there! can you dm us your account's email address or username? we'll take a look backstage /nq,,
463,a última atualização do pedido foi dia 24/10,,
464,"ah, have you tried an alternative browser? what are you wanting to chat to us about? can we help you from here?",,
465,"hi there! just to clarify, have you set your home console five times in a one year period? ^ js",,
466,"i - parcel tracking is a garbage fire. thanks, .",,
467,here’s what you can do to work around the issue until it’s fixed in a future software update:,,
468,"sorry about this, have you gotten to the page now? could you dm us a screen shot of this with the link below please? maclaine",,
469,thanks so much for trying. do you know where your battery backup is located? it is usually a black or white box with blue buttons mounted on a wall in a closet or garage. we'd like to try rebooting it. ^ ddd,,
470,"i m being fooled sir. - 3443578 - 8174720 is this coming or not? no human customer care service for third world ""india"" oh!",,
471,"hi bethany, this depends on the route and day. where are you travelling please?",bethany,"[[3, 10]]"
472,thanks for keeping us in the loop! i hope you take care and have a great week too! ^ bv,,
473,1) we're working on a known issue with playback in on demand affecting some customers. i can look at your connection. - colleen,colleen,"[[120, 127]]"
474,🙌🙌🙌🙌 thx bae,,
475,very rude member of staff. i've never been spoken to so badly before!,,
476,hey i just updated and no apple pay cash?!?,,
477,any suggestions on how to fix this? i️ tried making a shortcut in settings but it doesn’t seem to work,,
478,i detest/despise the way treats . everything from your policies to the language you use with even when you are wrong. this is why in the past year i have shifted to doing most of my shopping with . at least treats people well.,,
479,"on the plus side, no cavities",,
480,got it. glad to hear. feel free to tweet us for help anytime. *ttn,,
481,"we respond to inquiries in the order they're received, a member of our team will be following up.",,
482,"i did dm you, you just haven't replied",,
483,"glad to hear the team were able to help, dom 😀 ^ hp",,
484,"you're welcome, ken! we realize that buffering can be a frustrating thing to endure, so no worries. have a great weekend! 💚",ken,"[[16, 19], [116, 119]]"
485,"(2/2) but when i want to play cod: infinite warfare for the first time in months and got a 9gb update, it can be frustrating.",,
486,"hi vadim, please follow these steps to update payment details: thanks ^ nr",vadim,"[[3, 8]]"
487,this is really frustrating. everyone on this plane has plans. 35 minutes and counting. no way they're making that up.,,
488,been having difficulty with int fav bolt on. called helpline to hear it’s been discontinued . rather weird as only just started a month ago. no comms from o2 either!,,
489,"looks good so far, thanks again",,
490,"hi, missy, i'll send up your request. i love collard greens! *tsb",missy,"[[4, 9]]"
491,and if you want to go with sprint be careful because after the deal ends it goes up to 60.00$if they don't give us a good deal where leaving,,
492,"i have booked and paid more than full amount but the status in my mobile shows ""pending"" . refer id - xru9fx",,
493,still not working.,,
494,official launch date of ?,,
495,here to help! please follow this link to accept the terms of service.:,,
496,my fave thing about being a designer is wasting hours of my life with customer support,,
497,"nope, no error messages. this is basically what happens: it starts, loads, then u can quickly see a blue screen that shows the process is +",,
498,bro people be thinking im making this shit up comcast is some ass in chicago im telling you no bullet reg playing with a massive disadvantage,,
499,when your cart gets stuck at &amp; you just stare at it in confusion.,,
500,i apologize for any inconvenience that may have occurred from your package being delayed. you package is not accessible for us to make the arrangements for you to pick it up today. we are trying to deliver packages as fast as we can. ^ jl,,
501,"hey ian. we're sorry for the issues you've had. however, we're glad to hear we've been able to help. dm us your mobile number and we'll pass on your feedback ✉",ian,"[[4, 7]]"
502,sent,,
503,could you please dm us so we can send you further instructions on how to get the referral link.,,
504,hey cm de ! une question pour vous : à quoi sert d'être abonné prime si on se retrouve a devoir aller chercher ses colis en point relais super loin et carrément hors délais ?,,
505,still hasn't changed from preparing to dispatch,,
506,i'm sure they'd love to hear the positive feedback and i want to make sure i get the right colleague. thanks a million! - robyn 2/2,,
507,3:05am ct now?!?,,
508,is it fair to disconnect call.on customers face ...disconnected by shashikanth from leadership team,,
509,"thanks for bearing with us! for anything else, we're just a tweet away. /je",,
510,"flight was at 740am, maint issue, new plane, wait, wait, new plane, boarded and now 45 minutes for deicing. this is your fault.",,
511,it it it. why is my phone capitalizing “it”?! my only answer is that it’s halloween and this is an awful prank.,,
512,sorry for the trouble. kindly reach out to our support team here: via email or chat 1/2 ^ em,,
513,"hi there, sorry for the inconvenience. the currency is determined by your payment method and sometimes your country. the exchange rate is based on data from third parties who monitor market rates. here's more info about currency and exchange:",,
514,i do have iphone and messenger. pilot announced no wifi on plane,,
515,"hi oliver, services from this station may be affected and checking before you travel is recommended. the latest updates can be 1/2",oliver,"[[3, 9]]"
516,please let us know how we can help?,,
517,nope. does not allow me to remove songs from my library.,,
518,please send a video/screenshot our way for reference. have you tried any other browsers? check this out:,,
519,it’s funny reading this and seeing a whiny ass american cry about suing and acting childish to acknowledge someone responded privately..gtfo,,
520,"no doorbell, no knock.. just left out on the porch and no skewing of location, zoom out and you see exactly where they are.",,
521,"hi natalie, tried that and still can’t manage text alerts! please help",natalie,"[[3, 10]]"
522,😢 we'd like to help with this luke. you don't need a code to unlock an iphone. did you purchase the phone directly from us? how did you request us to unlock it? can you dm us some more info?,,
523,im still waiting 1 day and its the same screen..,,
524,"if you're in india and are looking for a store position, our systems would not provide a match. please consider other positions. thanks!",,
525,are there known issues with signing in on iphone x?,,
526,so incompetent on the customer service/retail store side of things. smh,,
527,"hi vickie, sorry to hear this. the system will reserve as close to your preferences as possible with what's available on board, there are occasions when trains have to run in reverse formation which can lead to this issue. - andy",vickie,"[[3, 9]]"
528,still i haven't received it,,
529,imessage not working on ios 11,,
530,"hi there, we have responded to your dms. please follow up with us there. thank you.",,
531,thank you john for providing your feedback. i'm glad to hear this matter was resolved for you. ^ rr,john,"[[10, 14]]"
532,"i'll be happy to assist with the internet issues you've been experiencing. please send a dm with your full name, address, and account number so i can look into your concerns. thanks! - kw",,
533,"hi liam! we'll let our tech folks know it's something you'd like to see. in the meantime, add your support at /jl",liam,"[[3, 7]]"
534,hey there. not sure what your referring to? have you spoken to another team by chance as we're not seeing recent history here on twitter. can you dm more specifics? ^ is,,
535,se han cubierto de gloria con la actualización de ios ¿soy el único al que le ve el iphone como el culo?,,
536,"hi there, 20kg baggage allowance added as per request. you can make the payment at the service counter on departure day. - pr",,
537,that's odd. we haven't seen any other reports as such. kindly try uninstalling and re - installing the app. ^ ms,,
538,you will have to return to the store you purchased the reservation card at.,,
539,your service and coverage is pathetic. i have now missed 3 telephone consultations with my gp because of poor reception in twickenham. reception in developing countries is better than your coverage in london.,,
540,i looked at the f&amp;q but that isnt listed there.,,
541,the last time i had was halloween 2016. so excited,,
542,- need help with a booking. hope you can get back quickly.,,
543,my orderd is taking to long very frustrating a hour and half for mcdonald’s that’s only few blocks away,,
544,hello. the timetable has been confirmed and advance tickets are expected to go on sale by the end of the week. - jordan,jordan,"[[113, 119]]"
545,sounds good to us. keep us in the loop.,,
546,"hi igor, we're listening! we understand that there has been changes made on the system after the bios update and apologize for the (1/5)",igor,"[[3, 7]]"
547,thank you. if you restart the device will it send? can you make another video of the same length and see if it will send?,,
548,i just bought love yourself at walmart!,,
549,"data service is not coming up at all, and access point is confirmed to be ok.",,
550,lmao... he probably eats at arby’s every other day.,,
551,we are currently holding face to face timetable consultation meeting at bournemouth station. meet the team before 19:30 and have your say.,,
552,"lucky for them, not for me, there are no other options here.",,
553,nan,,
554,the link takes me to driver support?,,
555,dm’d you. cheers,,
556,"we want your iphone to work properly. which apps are giving you trouble, and what is specifically is happening?",,
557,it’d help if you made sure car listed for driver making delivery matches what they’re driving. 2x i’ve been looking for wrong car!,,
558,"hello, so sorry to hear this. can you dm me some more info so i can investigate this for you. thanks - alice",alice,"[[103, 108]]"
559,y’all are fucking assholes. you over promise and under deliver constantly. bring back the szechuan for good you pissed all of the us off,,
560,that is not the experience we want you to have. what is going on with your residential services? ^ tnt,,
561,"hi, there. can you please follow and dm your confirmation number. *ast",,
562,"there's no need for eggs or milk for nutritional balance"". insanity.",,
563,nan,,
564,"i'm fairly certain that upon buying this, i now actually own a house",,
565,my delayed flight was 5444 but i missed 2945 and got rebooked for 3799. could i get first class on my delayed flight or compensation?,,
566,"why am i unable to write in one groupchat, but it makes another groupchat for me to write in?",,
567,thanks for the quick resolutions - internet is roaring now! #,,
568,relance,,
569,"we can lend a hand. to turn off wi - fi, you can go here in your settings app: settings &gt; wi - fi &gt; wi - fi toggle to off",,
570,anytime t bell!,,
571,glad to help. please check your dms for further instructions.,,
572,this bitch was in the wrong location and i still got charged after she cancelled. fuck you,,
573,nabend! alle einzelheiten zu unserer vorbesteller - preisgarantie findest du gleich hier: den status einer erstattung können wir über twitter leider nicht prüfen :/ gruß ^ mi,,
574,dear it appears that is not working or is down. please help.,,
575,"hi lynsey, we need this info so we have something unique to identify you with if we need to get in contact with you. - nick","lynsey, nick","[[3, 9], [119, 123]]"
576,"entiendo, ¿nos podrías indicar si el producto es vendido por amazon o por uno de nuestros vendedores externos? ^ ka",,
577,okay .ee,,
578,"let's look into this together. send us a dm with any troubleshooting steps you've tried, and we'll go from there.",,
579,"ive initialized, rebuilt the database, tried installing from usb and ive tried dong a full system initialization using the usb",,
580,"hi, brent. please dm your confirmation number, i'll take a look. *tjh",brent,"[[4, 9]]"
581,hey eric! i'd like to work with you on this issue. can you shoot us a dm for us to have a little chat? - resolutionsup dc,eric,"[[4, 8]]"
582,good morning. i can take a look to see if we have that promotion available for you. would you please dm your full address? - ns,,
583,we apologize. i'd like to take a closer look at this for you &amp; share your experience for review. please dm your name &amp; zip. ^ op,,
584,they're lying. i called in to make a transfer through the phone and they can't even do an rbc to rbc transfer.,,
585,thank you for clarifying. my team can escalate this to our transportation team for you via the secure link ^ bh provided. ^ dw,,
586,"bonjour, j'ai un article vtech en panne. votre site m'envoi vers le sav vtech et eux me renvoi vers vous... :(",,
587,side of anchovies? really? 2 pieces? just cause you don’t like em doesn’t mean i don’t.,,
588,done,,
589,gosh sorry tony - however we are also offering great deals on our beers in - store. raj,,
590,i have plenty of memory on my phone. what's going on with super slimey album? i'll download another to check.,,
591,thanks for confirming. unfortunately the flight was cancelled due to operational issues and the vs141 is the next available flight. ^ h,,
592,store 2397 is saying that there's a glitch in the system and that i'm going to be charge $20 for a new phone plus i have to wait.,,
593,please send us a dm and we'd be happy to help.,,
594,i'd like to pop some points on as an apology and to feed this back. mariya,mariya,"[[68, 74]]"
595,currently do not support casting of prime video on any casting device. i'll forward your feedback internally. (2/2) ^ st,,
596,"hi, i completely understand your frustration and i'd like to assist with your service concerns. please send a dm",,
597,"we're so sorry about the queues and delay, paul. we realise how frustrating it is for you. ^ anthony","paul, anthony","[[43, 47], [93, 100]]"
598,thank you for the screenshot! can you specify the exact setting or feature you're looking for in powerpoint?,,
599,i accidentally deleted a coupon for free chips and queso and now i want to die,,
600,telephone or email. i chose email,,
601,😟 please give these handy network tips a try becca:,,
602,ihave tried to sign up to microsoft azure with my prepaid visa $ 1$ was detected without completing subscription.,,
603,"let's check that for you, please send the number ^ jr",,
604,i haven’t got a ref number as flight was booked for me her is my boarding pass and number is 07809252305,,
605,here’s what you can do to work around the issue until it’s fixed in a future software update:,,
606,my order 171 - 0360384 - 4991563 updated as delivered when actually not and cust serv not solvg the issue.,,
607,has anyone gotten an updated shipping info on iphone x from t - mobile,,
608,"hey there, were you in need of any assistance? let me know i'd be more than happy to help! ^ op",,
609,i'm not aware of any plans for this but i will record your feedback on facilities and staffing at the station. we're always on hand to advise if you need service info. phil.,phil,"[[168, 172]]"
610,"bonjour, j'aimerai savoir pourquoi les puma evopower 1.2 pop fg coûte 56.05e pour des toutes les pointures sauf le 44.5 qui est à 115e ? est - il possible de l'ajuster au prix des autres pointures ?",,
611,i'd like to get this logged and sent back to our suppliers for them to look in to! to do this can you send me some details 2/4,,
612,お支払い番号は商品によって発行時期が異なります。また、発行済みの場合は、アカウントサービスの注文履歴から番号を確認することが可能です。発行タイミングなど詳しくは、リンクのヘルプページをご参照ください。 tn,,
613,are you having these issues over a wireless or hard wired connection? thank you. - lindsey,,
614,request you to reply to social media correspondence that is sent to your registered email account. 1/2 ^ mj,,
615,"son una porqueria, están haciendo todo exactamente igual ... en 4 horas van a decir que no hay forma ??? son los peores !",,
616,love that my driver is so conscientious and aware that my driveway is sometimes bursting with kids!,,
617,"we're known for blazing speeds, sotelo! let's figure out what we can do to get you the same. dm us for assistance. *keithm",,
618,"एक तरफ़ आप टीवी पे दिखाते हो की भारत का superfast 4g network, जब की हक़ीक़त ये हे की नेट तो ठीक पर ठंग से बात भी नहीं हो पाती.",,
619,i think this is the first time since its birth that i haven’t gone to on halloween for my annual boorito 😞,,
620,"oh no, sue! i am so sorry about this! you can see how to cancel your prime membership here: ^ be",,
621,well... at least that’s a start... lol... 🙄,,
622,no. no bounce back message and it is appearing in my sent mailbox.,,
623,"hi, thanks for the quick response. i'm using windows ... haven't updated any video card drivers..launching from app shortcut",,
624,"hola, sofia. lamento el inconveniente. ¿tu pedido fue enviado por amazon o un vendedor en nuestra página? ^ jq",,
625,any news on an iwatch app? which third party one do you recommend in the meantime?,,
626,loving the new teisserie syrup ranges. always bring loads back from france. any plans to introduce the mint flavour????,,
627,how about this? all stamford chase branches should have two tellers in service at all times? is that too difficult to accomplish? is there a regional manager with a brain out here?,,
628,"you're gbam plus. 11k/sec to glo lines, 15k/sec to other networks. daily fee of n5 applicable. thank you. so",,
629,"worse, they were not described as cropped when i bought them online tho they are now.. wasted time and money and inconvenience of returning",,
630,time to go to tv? picture is awful.,,
631,"we'll share your feedback with our rewards team, as we're always looking for ways to improve our products and services. thanks for taking time to let us know your thoughts about this. ^ tl",,
632,so being on a plane when a guy goes into respiratory arrest is scary but kept everyone pretty calm. paramedics were on site evaluating as we deplaned at i’m glad the guy made it home.,,
633,you're quite welcome. we're glad it's working out for you. let us know if you need any further assistance.,,
634,the link works perfect. please refresh and try again. ^ si,,
635,that page asks me why i'm returning my items. but i'm not. they were returned for me by someone else. i just still want them.,,
636,on the tv from the comfort of my warm living room!,,
637,i’m having trouble placing a food order and your chat service isn’t working ... stuck on the select a store section,,
638,"hello , apologies for the delayed response. please be informed that we do not refund for value added service. however service has been deactivated. thank you for choosing airtel. ^ papu.",,
639,"obsolescence programmée, tous les 3 ans à la même époque, l'iphone deviebt inutilisable : clavier, batterie, lenteur, bugs en tous genres",,
640,we are here to help! please send us your zip code. we would like to do a search for this item to check the availability near you. thank you.,,
641,takes an hour too open an account??,,
642,quel mensonge,,
643,"hi, to ensure we are managing risk, we no longer allow employees to release holds placed on customers’ deposits. ^ jv",,
644,shoot us a dm so we can help!,,
645,you told me using my phone would cost £4.99 a day yet you’ve charged me enormous amounts for a couple of calls. please sort asap!,,
646,i’ve had to turn all the notifications off on my phone otherwise it is turning off and on every 5 seconds - so annoying! can you help?,,
647,i got an email from __email__ to fill my application for university sde role. i can't reset password.,,
648,"hello idea , i am nilesh khaire from watephal village ,ahmednagar district, maharashtra here idea having separate network tower but we couldn't got network ,in all india idea provide 4g services but we still use the 2g or sometimes 3g services ,and we had 4 g rc..",nilesh khaire,"[[18, 31]]"
649,here to help! please send us a dm with your email address and phone number so we can follow up.,,
650,"y'all need to bring the option to turn auto brightness on or off back, this is bullshit.",,
651,i’m sorry to hear about this andrew. please address your concern by email at __email__ for assistance. jg,,
652,as big as dfw airport is and can’t find an open gate for our arriving flight? typical aa crap...,,
653,"hi philip, have you checked to see if the clubcard on your account matches the physical card you have? kind regards - rhys",philip,"[[3, 9]]"
654,no one has been able to buy a sprint phone yet.,,
655,how do i send an email across,,
656,"hi shane, which apps are you working in? ^ b",shane,"[[3, 8]]"
657,"it’s running slowly, mostly when i’m typing messages, or trying to swap between reg keyboard to emoji keyboard.",,
658,"hi, i am looping in out for further assistance. ^ ka",,
659,hey i see you still haven't secured homepage login forms i notified you about earlier this month. what gives?,,
660,automated response 👍🏾,,
661,"i'm so sorry for the trouble, jeremy! this definitely isn't the experience we want our customers to have. i would like to have someone look at this with you directly. please reach out to us here: ^ la",jeremy,"[[30, 36]]"
662,"hi, brian. each line ride counts as one ride, even if there are more than 1 passengers along the route.",brian,"[[4, 9]]"
663,"hi sorry to hear. have you called 800 - 430 - 1000, 24/7 &amp; escalated your concern to a supervisor to open an investigation? ^ c",,
664,"why do students get discounts, out of interest?",,
665,you too. ^ caro,,
666,i would suggest contacting the carrier to confirm the status. carrier info can be found here: ^ eb,,
667,"bjr, je possède une imprimante photosmart 5520. depuis environ 15 jours, il m'est impossible de connecter mon imprimante à mes différents devices : mac, smartphones (android et ios), tablettes, et même sur pc windows. ma clef wep n'est jamais reconnue",,
668,bro i had a lyft driver try and get at me while he was driving me to work...... it's honestly so horrible. the way he would look back at me and look at me creepy af,,
669,internet,,
670,apologies for the trouble. kindly reach out to our support team here: for assistance. ^ mo,,
671,thank you for that info. let's have you take a look and see if your purchases are hidden. this article will guide you through checking to see if the purchases are hidden:,,
672,"mp3, eu tenho assinado o google play music sksbsksbskjsg eu baixo pra escutar offline e aí quando vou querer escutar não estão mais lá :')",,
673,wie möchtest du schauen? über die app auf deinen tv? oder hängt da noch eine amazon - gerät dran (fire tv stick z. b.)? ^ ds,,
674,thank u. i will do that,,
675,"hi. bilal. you can also find the correspondence in the app under the ""help"" section.",bilal,"[[4, 9]]"
676,: my bizspark subscription 76c42b2a - 8ef3 - 46ae - 9b29 - 4d32eace6b97 is disabled. unable to move resources to pay as you go.,,
677,"hey! we’ll have it available to you as soon as it’s available to us. for now, check out the singles: /js",,
678,we'll work on your experience for improvements so that such instances will never repeat. ^ mj,,
679,now my charter spectrum app is completely down! other apps like abc news work,,
680,hey meredith. thanks for letting us know. please share your confirmation code or ticket number via this link. *tkr,,
681,we can help w/ that via twitter! can you dm your rr #? ^ ct,,
682,local channels pixelated and audio in and out on multiple tvs. going on for 2 weeks now. no stbs. coax connected directly to tvs. all newer tvs.,,
683,"hello, i'm sorry to hear you are experiencing issues with the service. please dm so we can further assist you. - dp",,
684,have you tried resetting the lightroom preferences and then test for this? this may help you. ^ sv,,
685,can you please follow and dm us? ^ car,,
686,"un disfraz de t - rex siempre será indispensable en nuestro armario. sin embargo ruperto sigue indeciso y ahora está pensando que podría tener súper poderes, ¿qué te parece esté disfraz? ^ aa",,
687,i shouldn't require the assistance of dora the explorer to find my order. maybe you guys think differently.,,
688,"so strikes last month, delayed many times over the month and i get zero, nothing, £0.00 off my monthly ticket renewal??! apparently i now have to fill in a form to get a refund for delays??? seriously!???",,
689,"we're sorry we weren't able to keep your upgrade, kirk. our agents will help book the best available seat in main cabin.",,
